"Gene","logFC","t","PValue","FDR"
"ENSG00000170956",-1.63034170329688,-12.1952878122404,2.11476284060499e-22,1.6952298889922e-20
"ENSG00000101347",-1.06928346634747,-12.179315611669,2.30256194425358e-22,1.83795177567156e-20
"ENSG00000270820",-1.64412149646452,-12.1760841828819,2.34254353222716e-22,1.86197616287322e-20
"ENSG00000170876",-1.29331095110659,-12.1622319568449,2.52196984789554e-22,1.99617092414522e-20
"ENSG00000115421",-1.52133449027046,-12.1419635420365,2.8096206114011e-22,2.2145453170533e-20
"ENSG00000117475",-1.80482417770781,-12.1396768272502,2.84407199353123e-22,2.23235950892256e-20
"ENSG00000102699",-1.29835692410187,-12.109681278077,3.33719970817098e-22,2.60855469305083e-20
"ENSG00000100342",-1.25644187905594,-12.0767853284912,3.97709300979456e-22,3.0831472476753e-20
"ENSG00000274750",-2.01494614881789,-12.0720321760609,4.0792083285439e-22,3.14934944643893e-20
"ENSG00000165118",-1.8227834456689,-12.0675291337735,4.17837306010612e-22,3.21274251862364e-20
"ENSG00000267745",-2.0709764575399,-12.0499192645273,4.58992533834282e-22,3.51483794811797e-20
"ENSG00000115155",-3.18151312954708,-12.0405753981695,4.82454825743188e-22,3.67954818111344e-20
"ENSG00000152684",-1.34779562002024,-12.0396163952057,4.84929856589325e-22,3.68351154775391e-20
"ENSG00000168961",-1.0600491978104,-12.0350301460184,4.9694328662318e-22,3.75960547526404e-20
"ENSG00000214872",-2.27405653421154,-12.0283841614624,5.14883283407643e-22,3.86657998793248e-20
"ENSG00000174718",-1.61111195873594,-12.0282732108327,5.15188224318427e-22,3.86657998793248e-20
"ENSG00000255221",-2.27743849791591,-12.0230368283173,5.2978781581704e-22,3.96037415649262e-20
"ENSG00000233785",-2.28255530337608,-12.0203239052019,5.37514039827173e-22,4.00224880721909e-20
"ENSG00000140464",-1.35901986103599,-12.0003990720822,5.97827723028513e-22,4.43381049071305e-20
"ENSG00000035720",-2.25685432743926,-11.9535644518512,7.6767739014999e-22,5.67117908848843e-20
"ENSG00000140259",-1.39374420687098,-11.9187068124771,9.24790555237887e-22,6.75240483704314e-20
"ENSG00000062194",-1.07233853461288,-11.883923356158,1.11369153656939e-21,8.10027844243016e-20
"ENSG00000204397",-1.53252780028512,-11.8799753808578,1.13744063966753e-21,8.24119491156037e-20
"ENSG00000114127",-1.23481961137957,-11.8777449415724,1.15108150184944e-21,8.30807407350181e-20
"ENSG00000148572",-2.10321756995181,-11.8692658646209,1.20445037963255e-21,8.62716207282051e-20
"ENSG00000125449",-1.33170609745258,-11.8683979475418,1.21005118079778e-21,8.63444853934418e-20
"ENSG00000127084",-1.08591031709498,-11.8512973295273,1.32588405367697e-21,9.3898510538221e-20
"ENSG00000102710",-1.53626068925941,-11.8468826837094,1.35755035172792e-21,9.57810244413878e-20
"ENSG00000166523",-1.69062096092024,-11.8458457919896,1.36509720730669e-21,9.59541089225498e-20
"ENSG00000003400",-1.16144420563218,-11.8335939372206,1.45751785077856e-21,1.02069595810284e-19
"ENSG00000142089",-1.78194656915281,-11.8180782166545,1.58360981576116e-21,1.1048904336781e-19
"ENSG00000246082",-2.00847929720978,-11.8158802363221,1.60233492544539e-21,1.11382971680961e-19
"ENSG00000109220",-1.85761126577134,-11.8053428933745,1.69523241254938e-21,1.17407309513254e-19
"ENSG00000123405",-1.74347406144024,-11.7891225580143,1.84888712813379e-21,1.27579984321554e-19
"ENSG00000108679",-1.86095298119017,-11.781643071309,1.92436663805322e-21,1.31344995390024e-19
"ENSG00000118564",-1.47222451856403,-11.7823061189079,1.91755258117802e-21,1.31344995390024e-19
"ENSG00000164117",-1.85131419632314,-11.7699975268399,2.04807981749052e-21,1.39284215169265e-19
"ENSG00000128335",-1.64418228875126,-11.7664006124953,2.08787794123712e-21,1.41480016751888e-19
"ENSG00000239713",-1.31921507475282,-11.7618070766764,2.13983169329481e-21,1.44480822359454e-19
"ENSG00000163644",-1.22610477223734,-11.7578102421874,2.18608919613647e-21,1.47076958131496e-19
"ENSG00000272419",-1.17544304065702,-11.7473495829254,2.3119534871425e-21,1.54441772307767e-19
"ENSG00000013374",-1.51436802069332,-11.7393772011386,2.41273143723624e-21,1.60038854981184e-19
"ENSG00000002549",-1.66504030746813,-11.7337732399267,2.48619314162712e-21,1.64333004919199e-19
"ENSG00000124508",-1.52716426995552,-11.7310593596534,2.52257022398958e-21,1.66154468110195e-19
"ENSG00000241878",-1.10610481511287,-11.7259067193837,2.59311026014079e-21,1.70205613521018e-19
"ENSG00000124226",-1.01411101980914,-11.7229319177465,2.63473172951568e-21,1.72337070557696e-19
"ENSG00000106785",-1.54686116585989,-11.7157097245895,2.73858587449791e-21,1.7851031385395e-19
"ENSG00000263069",-1.51950696441929,-11.7029618822845,2.93200625275743e-21,1.90459082032567e-19
"ENSG00000167562",-1.48281004628362,-11.7006496721031,2.96852772169668e-21,1.92168815193547e-19
"ENSG00000143363",-1.06646103422497,-11.6967305942714,3.03147350026823e-21,1.95571567801551e-19
"ENSG00000225101",-1.66497214748533,-11.6672289147497,3.55027097750688e-21,2.25945961737414e-19
"ENSG00000111859",-1.32696270501646,-11.6674346705889,3.54636101474697e-21,2.25945961737414e-19
"ENSG00000179044",-2.61593068824204,-11.6633701332701,3.62440420782016e-21,2.29887294501401e-19
"ENSG00000171428",-1.63644906744891,-11.6565202971149,3.75984011627387e-21,2.37677409766333e-19
"ENSG00000184432",-1.2356410922812,-11.6216725980014,4.53147835552992e-21,2.8549829184439e-19
"ENSG00000164002",-1.60217633829217,-11.6200577356748,4.57085401583561e-21,2.8701915983437e-19
"ENSG00000105939",-1.29055517684114,-11.6033119379443,4.9999340962164e-21,3.11883306306373e-19
"ENSG00000124786",-1.94945060429262,-11.5946886819447,5.23639563246332e-21,3.24484279356395e-19
"ENSG00000272666",-1.69156858246311,-11.5839059466517,5.54789483220953e-21,3.41540009310991e-19
"ENSG00000110852",-1.47461149357531,-11.5744641098543,5.83586194195239e-21,3.58097613232896e-19
"ENSG00000182952",-1.57294218010636,-11.5690785632465,6.00677205618811e-21,3.67388220761271e-19
"ENSG00000009844",-1.62718703504144,-11.5624188843319,6.22506514867907e-21,3.78283152486504e-19
"ENSG00000160179",-1.58108029397751,-11.5611579880462,6.26728112189624e-21,3.79623928534667e-19
"ENSG00000169228",-1.24147398565573,-11.5530209443052,6.54669849154872e-21,3.9527790443524e-19
"ENSG00000281162",-1.93427846951671,-11.5501806494533,6.64714087132951e-21,4.00060190843787e-19
"ENSG00000221909",-1.64937462446201,-11.5358856215173,7.1765824984928e-21,4.30549239193017e-19
"ENSG00000171860",-2.20505612485729,-11.5260941468409,7.5634011704619e-21,4.50884022940384e-19
"ENSG00000147168",-1.00729005557989,-11.519447091592,7.83782946819923e-21,4.64305130572129e-19
"ENSG00000272189",-1.98774326574727,-11.4883696548923,9.25923114188356e-21,5.46788076021324e-19
"ENSG00000249662",-2.0626867022587,-11.4847347550608,9.44151544298467e-21,5.55810212234204e-19
"ENSG00000172183",-1.16322128751282,-11.4827756951164,9.54124501414687e-21,5.59931381858251e-19
"ENSG00000253214",-1.81785333237931,-11.4817024400972,9.59632761349946e-21,5.61414967649388e-19
"ENSG00000180573",-1.59101992932537,-11.4790777584762,9.73237937904479e-21,5.67611649357417e-19
"ENSG00000103194",-1.21772821903686,-11.4766213156202,9.86145974153625e-21,5.73364748799568e-19
"ENSG00000187257",-1.00809442409996,-11.4733181078435,1.00377425156551e-20,5.81818441568956e-19
"ENSG00000213689",-1.65670448853296,-11.471797685437,1.01199402817322e-20,5.84783543028441e-19
"ENSG00000223935",-1.76706744374407,-11.4565397314514,1.09830846442042e-20,6.3271972026764e-19
"ENSG00000010539",-1.33395236514377,-11.4427110489063,1.1828901475067e-20,6.79368432888148e-19
"ENSG00000279320",-2.09504441180636,-11.4215503794237,1.32511607458713e-20,7.54155184684965e-19
"ENSG00000172936",-1.20668251256924,-11.4174360994431,1.35469668609753e-20,7.66359644825984e-19
"ENSG00000164144",-1.77404377198951,-11.4151137570573,1.37168474346194e-20,7.73646622674734e-19
"ENSG00000168016",-1.47575380536288,-11.4085537556066,1.4208326666146e-20,7.9897450070704e-19
"ENSG00000152904",-1.38283494657337,-11.4078144710031,1.42648083728398e-20,7.99763274189155e-19
