"PC","Variance_Explained_Percent"
"PC412",0.0325192676208584
"PC413",0.0324579311513856
"PC414",0.0323465293199244
"PC415",0.0322483403946788
"PC416",0.0319975284359492
"PC417",0.0318941494785969
"PC418",0.0318187460546669
"PC419",0.0316827776021244
"PC420",0.0314644292691191
"PC421",0.031364796731665
"PC422",0.0311873847970744
"PC423",0.0311333738355177
"PC424",0.0308006981322125
"PC425",0.0306433270629588
"PC426",0.030601754923932
"PC427",0.0305163572805448
"PC428",0.030271600453134
"PC429",0.0302445627469078
"PC430",0.030168590164652
"PC431",0.0299760254288684
"PC432",0.0298469813167398
"PC433",0.0297586035447309
"PC434",0.0295539343800332
"PC435",0.0294968165583914
"PC436",0.0294182729501782
"PC437",0.0292302125661775
"PC438",0.0291718355048539
"PC439",0.0291299512716512
"PC440",0.0290226747699967
"PC441",0.0288993602354349
"PC442",0.0286193487890672
"PC443",0.0285255359998373
"PC444",0.028414952675089
"PC445",0.0283014766943144
"PC446",0.0282107307092173
"PC447",0.0280820254778877
"PC448",0.0280481742378255
"PC449",0.0279546198789282
"PC450",0.0276760650899351
"PC451",0.02762095690792
"PC452",0.0275805333068843
"PC453",0.0274386822783167
"PC454",0.0272850102322895
"PC455",0.0271843324881033
"PC456",0.0269744917056992
"PC457",0.0268548707962287
"PC458",0.0267220844566949
"PC459",0.0265904045644963
"PC460",0.0264781705476631
"PC461",0.0263452231284249
"PC462",0.0262628845447511
"PC463",0.0262075345893602
"PC464",0.0260823692871344
"PC465",0.0259335993891977
"PC466",0.0257849046553518
"PC467",0.0256849720442589
"PC468",0.0255279225689993
"PC469",0.0254517801802122
"PC470",0.0252676740056113
"PC471",0.0252338061490076
"PC472",0.0251185052342674
"PC473",0.0248683294200161
"PC474",0.0248014329646079
"PC475",0.0247034687435868
"PC476",0.0246682960035325
"PC477",0.0244046335864132
"PC478",0.0243515602535389
"PC479",0.0242005395289858
"PC480",0.024138868695109
"PC481",0.0240513682386971
"PC482",0.0239437016676683
"PC483",0.0239101819162581
"PC484",0.0237576285625525
