Factor,GO_ID,P_value,FDR
Factor13,GO:0098609,0.132106586201464,0.349903931020093
Factor13,GO:0007399,0.160483229874136,0.413772782915124
Factor13,GO:0051607,0.164664678915202,0.413772782915124
Factor13,GO:0006874,0.194339865803974,0.455904749733379
Factor13,GO:0030154,0.195387749885734,0.455904749733379
Factor13,GO:0035725,0.186314016339821,0.455904749733379
Factor13,GO:0019722,0.220833049312868,0.503293926340955
Factor13,GO:0007156,0.227440368605234,0.506270976062034
Factor13,GO:0055085,0.232471366559097,0.506270976062034
Factor13,GO:0043123,0.239270551815285,0.50975030604126
Factor13,GO:0007565,0.247682364232707,0.516444078612879
Factor13,GO:0009615,0.269980850977852,0.516586937538193
Factor13,GO:0030182,0.255165710699445,0.516586937538193
Factor13,GO:0030198,0.276308761052629,0.516586937538193
Factor13,GO:0042127,0.268207296392474,0.516586937538193
Factor13,GO:0042742,0.279378649893104,0.516586937538193
Factor13,GO:0060078,0.27238016756003,0.516586937538193
Factor13,GO:0140374,0.292533486177314,0.530894104544013
Factor13,GO:0007165,0.303167853093755,0.540189992785237
Factor13,GO:0006357,0.35446038230404,0.615200407026432
Factor13,GO:0006811,0.366652226030912,0.615200407026432
Factor13,GO:0016055,0.370375755250607,0.615200407026432
Factor13,GO:0050911,0.359630809037414,0.615200407026432
Factor13,GO:0006355,0.411511438500903,0.672135349551474
Factor13,GO:0007186,0.428244488707194,0.687999342513196
Factor13,GO:0007608,0.442270879868663,0.699073326244016
Factor13,GO:0050821,0.471455229845846,0.733374801982428
Factor13,GO:0006958,0.485829529848209,0.742818078982108
Factor13,GO:0007411,0.507845013181645,0.742818078982108
Factor13,GO:0034220,0.49829015681291,0.742818078982108
Factor13,GO:0043066,0.501352702966314,0.742818078982108
Factor13,GO:0007268,0.515481818062506,0.742900267207729
Factor13,GO:0010628,0.539736217533345,0.755630704546682
Factor13,GO:0045892,0.535887943742031,0.755630704546682
Factor13,GO:0045893,0.553454660247857,0.763923333863239
Factor13,GO:0007420,0.567868318339563,0.772931877739961
Factor13,GO:0007283,0.588874411152754,0.790543730040683
Factor13,GO:0002376,0.607090778729749,0.803985085344803
Factor13,GO:0010629,0.618338798752089,0.807962697036063
Factor13,GO:0035556,0.640438695600434,0.825828844326875
Factor13,GO:0016064,0.683313499278113,0.847654720623482
Factor13,GO:0031640,0.682366834860703,0.847654720623482
